"Field","Legacy PNum(s)","Legacy Text","Base Name Source","Profile Link Value","Recommended Collection Title","Recommended Collection URL","Confidence","Rationale","Override","Disposition"
"Machine","6240","Aircurve 11 asv","Suggested Title","AirCurve 11 ASV (Discontinued)","BiPAP Machines","https://www.cpap.com/collections/bipap-machines","High","ASV is a bilevel device -> BiPAP machines; alt: aircurve-machines line collection","","collection"
"Machine","4799, 5213","AirSense 10 CPAP Machine with HumidAir Heated Humidifier (+1 more)","Suggested Title","AirSense 10 CPAP with HumidAir (Discontinued)","All CPAP Machines","https://www.cpap.com/collections/cpap-machines","High","AirSense 10 model -> live AirSense 10 Machines collection","","collection"
"Machine","4800","AirSense 10 Elite CPAP Machine with HumidAir Heated Humidifier","Suggested Title","AirSense 10 Elite with HumidAir (Discontinued)","All CPAP Machines","https://www.cpap.com/collections/cpap-machines","High","AirSense 10 model -> live AirSense 10 Machines collection","","collection"
"Machine","6262","AS10 C2C OpenBox Climateline","Suggested Title","AS10 C2C Climateline (Discontinued)","All CPAP Machines","https://www.cpap.com/collections/cpap-machines","Medium","AS10 = AirSense 10 (Card-to-Cloud open-box); cryptic internal listing name","","collection"
"Machine","6261","AS10 C2C OpenBox slimline","Suggested Title","AS10 C2C Slimline (Discontinued)","All CPAP Machines","https://www.cpap.com/collections/cpap-machines","Medium","AS10 = AirSense 10 (Card-to-Cloud open-box); cryptic internal listing name","","collection"
"Machine","5966","DreamStation 2 Auto CPAP Advanced with Humidifier","Text","DreamStation 2 Auto CPAP Advanced with Humidifier (Discontinued)","Auto CPAP Machines","https://www.cpap.com/collections/apap-machines","High","Auto in name -> APAP machines; alt: dreamstation-2-replacement-parts","","collection"
"Machine","5024","DreamStation Auto CPAP Machine","Text","DreamStation Auto CPAP Machine (Discontinued)","Auto CPAP Machines","https://www.cpap.com/collections/apap-machines","High","Auto in name -> APAP machines; alt: philips-dreamstation-replacement-parts","","collection"
"Machine","5859","DreamStation Auto with Heated Humidifier + DreamWear Mask Bundle","Text","DreamStation Auto with Heated Humidifier + DreamWear Mask Bundle (Discontinued)","Auto CPAP Machines","https://www.cpap.com/collections/apap-machines","High","Auto in name -> APAP machines","","collection"
"Machine","5851","DreamStation Auto With Heated Humidifier + Supplies Bundle","Text","DreamStation Auto With Heated Humidifier + Supplies Bundle (Discontinued)","Auto CPAP Machines","https://www.cpap.com/collections/apap-machines","High","Auto in name -> APAP machines","","collection"
"Machine","5062","DreamStation BiPAP Pro Machine with Heated Humidifier Core","Text","DreamStation BiPAP Pro Machine with Heated Humidifier Core (Discontinued)","BiPAP Machines","https://www.cpap.com/collections/bipap-machines","High","BiPAP in name -> BiPAP machines","","collection"
"Machine","5026","DreamStation BiPAP® Auto Machine","Text","DreamStation BiPAP® Auto Machine (Discontinued)","BiPAP Machines","https://www.cpap.com/collections/bipap-machines","High","BiPAP in name -> BiPAP machines","","collection"
"Machine","5022","DreamStation CPAP Machine","Text","DreamStation CPAP Machine (Discontinued)","Auto CPAP Machines","https://www.cpap.com/collections/apap-machines","Medium","plain CPAP (non-auto) DreamStation -> fixed-pressure collection; alt: cpap-machines","","collection"
"Machine","5860","DreamStation Go Auto + DreamWear Mask Bundle","Text","DreamStation Go Auto + DreamWear Mask Bundle (Discontinued)","Travel CPAP Machines","https://www.cpap.com/collections/travel-cpap-machines","High","DreamStation Go = travel CPAP -> travel machines","","collection"
"Machine","5320","DreamStation Go Auto CPAP Machine","Text","DreamStation Go Auto CPAP Machine (Discontinued)","Travel CPAP Machines","https://www.cpap.com/collections/travel-cpap-machines","High","DreamStation Go = travel CPAP -> travel machines","","collection"
"Machine","5883","DreamStation Go Auto CPAP Machine + Portable Outlet CPAP Battery Bundle","Text","DreamStation Go Auto CPAP Machine + Portable Outlet CPAP Battery Bundle (Discontinued)","Travel CPAP Machines","https://www.cpap.com/collections/travel-cpap-machines","High","DreamStation Go = travel CPAP -> travel machines","","collection"
"Machine","5552","DreamStation Go Auto CPAP Machine with Heated Humidifier","Text","DreamStation Go Auto CPAP Machine with Heated Humidifier (Discontinued)","Travel CPAP Machines","https://www.cpap.com/collections/travel-cpap-machines","High","DreamStation Go = travel CPAP -> travel machines","","collection"
"Machine","5853","DreamStation Go Auto Travel CPAP Machine + Six Disposable Filters Bundle","Text","DreamStation Go Auto Travel CPAP Machine + Six Disposable Filters Bundle (Discontinued)","Travel CPAP Machines","https://www.cpap.com/collections/travel-cpap-machines","High","Travel in name -> travel machines","","collection"
"Machine","5965","DreamStation Go Auto with Heated Humidifier + DreamWear Mask Bundle","Text","DreamStation Go Auto with Heated Humidifier + DreamWear Mask Bundle (Discontinued)","Travel CPAP Machines","https://www.cpap.com/collections/travel-cpap-machines","High","DreamStation Go = travel CPAP -> travel machines","","collection"
"Machine","5287","HMS DreamStation Auto CPAP with Humidifier and Cell Modem","Text","HMS DreamStation Auto CPAP with Humidifier and Cell Modem (Discontinued)","Auto CPAP Machines","https://www.cpap.com/collections/apap-machines","High","Auto in name -> APAP machines","","collection"
"Machine","5094","IntelliPAP 2 AutoAdjust Auto CPAP Machine","Text","IntelliPAP 2 AutoAdjust Auto CPAP Machine (Discontinued)","Auto CPAP Machines","https://www.cpap.com/collections/apap-machines","High","AutoAdjust/Auto in name -> APAP machines; alt: devilbiss-intellipap-2-replacement-parts","","collection"
"Machine","6040, 6000, 6025","Luna G3 APAP (+2 more)","Suggested Title","Luna G3 (Discontinued)","Auto CPAP Machines","https://www.cpap.com/collections/apap-machines","Medium","Luna line collection; G3 was an auto -> alt: apap-machines","","collection"
"Machine","6311, 5514, 6011, 5513, 6263, 6264","Luna 2- Damaged Box (+5 more)","Suggested Title","Luna II Auto CPAP Machine (Discontinued)","Auto CPAP Machines","https://www.cpap.com/collections/apap-machines","High","Luna II = Luna 2 -> dedicated Luna 2 Machines collection [THIN COLLECTION — curator attention: low product count, consider Override to parent category]","","collection"
"Machine","6239","Luna TravelPAP","Text","Luna TravelPAP (Discontinued)","Travel CPAP Machines","https://www.cpap.com/collections/travel-cpap-machines","High","TravelPAP -> travel machines; alt: luna line collection","","collection"
"Machine","4068","PR System One REMStar 60 Series Auto CPAP Machine","Text","PR System One REMStar 60 Series Auto CPAP Machine (Discontinued)","Auto CPAP Machines","https://www.cpap.com/collections/apap-machines","High","Auto in name -> APAP machines; alt: philips-respironics-system-one-remstar-replacement-parts","","collection"
"Machine","5124","ResMed AirCurve 10 ASV Machine with Heated Humidifier","Suggested Title","ResMed AirCurve 10 ASV BiLevel Machine (Discontinued)","BiPAP Machines","https://www.cpap.com/collections/bipap-machines","High","BiLevel/ASV in name -> BiPAP machines; alt: resmed-aircurve-10-asv-replacement-parts","","collection"
"Machine","5566","Somnetics Transcend 3 Auto miniCPAP","Text","Somnetics Transcend 3 Auto miniCPAP (Discontinued)","Travel CPAP Machines","https://www.cpap.com/collections/travel-cpap-machines","Medium","miniCPAP = travel-class unit -> travel machines; alt: transcend brand collection","","collection"
"Machine","6376, 6372, 6373, 6325, 6089","Transcend Micro 510 (+4 more)","Suggested Title","Transcend Micro Essentials Bundle (Discontinued)","Travel CPAP Machines","https://www.cpap.com/collections/travel-cpap-machines","Medium","Transcend Micro = travel CPAP -> travel machines; alts: micro / transcend-micro-bundles","","collection"
"Machine","6277","Transcend Micro Power Bundle","Suggested Title","Transcend Micro Power Bundle (Discontinued)","Travel CPAP Machines","https://www.cpap.com/collections/travel-cpap-machines","Medium","Transcend Micro = travel CPAP -> travel machines; alts: micro / transcend-micro-bundles","","collection"
"Machine","5562, 5563","Z2 Auto Travel CPAP Machine (+1 more)","Suggested Title","Z2 Auto Travel CPAP Machine (Discontinued)","Travel CPAP Machines","https://www.cpap.com/collections/travel-cpap-machines","High","Travel in name -> travel machines; alt: breas-z2-auto-travel-cpap-replacement-parts","","collection"
"Machine","6391","REFURB AirCurve 11 BiPAP ASV","Suggested Title","AirCurve 11 BiPAP ASV (Discontinued)","BiPAP Machines","https://www.cpap.com/collections/bipap-machines","High","BiPAP ASV -> BiPAP Machines collection (signed off via #32 live-dropdown diff, 2026-09-02)","","collection"
"Machine","6408","AirCurve™ 11 ST-A Co-Pack","Suggested Title","AirCurve™ 11 ST-A Co-Pack (Discontinued)","BiPAP Machines","https://www.cpap.com/collections/bipap-machines","High","BiPAP co-pack -> BiPAP Machines collection (signed off via #32 live-dropdown diff, 2026-09-02)","","collection"
