# sha256 10b505f91906ce3b69e5ea463b7dc1d910eed1a8bc2952290bc37ac707e94b2f
user_field_name,legacy_value,legacy_text,value,url,disposition
Machine,4068,PR System One REMStar 60 Series Auto CPAP Machine,PR System One REMStar 60 Series Auto CPAP Machine (Discontinued),https://www.cpap.com/collections/apap-machines,collection
Machine,4799,AirSense 10 CPAP Machine with HumidAir Heated Humidifier,AirSense 10 CPAP with HumidAir (Discontinued),https://www.cpap.com/collections/cpap-machines,collection
Machine,4800,AirSense 10 Elite CPAP Machine with HumidAir Heated Humidifier,AirSense 10 Elite with HumidAir (Discontinued),https://www.cpap.com/collections/cpap-machines,collection
Machine,4801,ResMed AirSense 10 AutoSet CPAP Machine with HumidAir Heated Humidifier,AirSense 10 AutoSet with HumidAir,https://www.cpap.com/products/resmed-airsense-10-autoset-cpap-machine-with-humidair-heated-humidifier-and-climateline,resolves-to-product
Machine,4808,AirSense 10 AutoSet Connected Tripack,AirSense 10 AutoSet with HumidAir,https://www.cpap.com/products/resmed-airsense-10-autoset-cpap-machine-with-humidair-heated-humidifier-and-climateline,resolves-to-product
Machine,4872,AirCurve 10 VAuto BiLevel Machine with HumidAir Heated Humidifier,AirCurve 10 VAuto BiLevel Machine,https://www.cpap.com/products/aircurve-10-vauto-bilevel-machine,resolves-to-product
Machine,5022,DreamStation CPAP Machine,DreamStation CPAP Machine (Discontinued),https://www.cpap.com/collections/cpap-machines,collection
Machine,5024,DreamStation Auto CPAP Machine,DreamStation Auto CPAP Machine (Discontinued),https://www.cpap.com/collections/apap-machines,collection
Machine,5026,DreamStation BiPAP® Auto Machine,DreamStation BiPAP® Auto Machine (Discontinued),https://www.cpap.com/collections/bipap-machines,collection
Machine,5062,DreamStation BiPAP Pro Machine with Heated Humidifier Core,DreamStation BiPAP Pro Machine with Heated Humidifier Core (Discontinued),https://www.cpap.com/collections/bipap-machines,collection
Machine,5094,IntelliPAP 2 AutoAdjust Auto CPAP Machine,IntelliPAP 2 AutoAdjust Auto CPAP Machine (Discontinued),https://www.cpap.com/collections/apap-machines,collection
Machine,5124,ResMed AirCurve 10 ASV Machine with Heated Humidifier,ResMed AirCurve 10 ASV BiLevel Machine (Discontinued),https://www.cpap.com/collections/bipap-machines,collection
Machine,5213,AirStart 10 Auto CPAP with HumidAir Heated Humidifier,AirSense 10 CPAP with HumidAir (Discontinued),https://www.cpap.com/collections/cpap-machines,collection
Machine,5287,HMS DreamStation Auto CPAP with Humidifier and Cell Modem,HMS DreamStation Auto CPAP with Humidifier and Cell Modem (Discontinued),https://www.cpap.com/collections/apap-machines,collection
Machine,5320,DreamStation Go Auto CPAP Machine,DreamStation Go Auto CPAP Machine (Discontinued),https://www.cpap.com/collections/travel-cpap-machines,collection
Machine,5358,AirMini AutoSet™ Travel CPAP Machine,AirMini AutoSet Travel CPAP Machine,https://www.cpap.com/products/resmed-airmini-autoset-travel-cpap-machine,resolves-to-product
Machine,5513,Luna II CPAP Machine with Humidifier,Luna II Auto CPAP Machine (Discontinued),https://www.cpap.com/collections/apap-machines,collection
Machine,5514,Luna II Auto CPAP Machine with Humidifier,Luna II Auto CPAP Machine (Discontinued),https://www.cpap.com/collections/apap-machines,collection
Machine,5552,DreamStation Go Auto CPAP Machine with Heated Humidifier,DreamStation Go Auto CPAP Machine with Heated Humidifier (Discontinued),https://www.cpap.com/collections/travel-cpap-machines,collection
Machine,5562,Z2 Auto Travel CPAP Machine,Z2 Auto Travel CPAP Machine (Discontinued),https://www.cpap.com/collections/travel-cpap-machines,collection
Machine,5563,Z2 Standard Travel CPAP Machine,Z2 Auto Travel CPAP Machine (Discontinued),https://www.cpap.com/collections/travel-cpap-machines,collection
Machine,5566,Somnetics Transcend 3 Auto miniCPAP,Somnetics Transcend 3 Auto miniCPAP (Discontinued),https://www.cpap.com/collections/travel-cpap-machines,collection
Machine,5666,AirMini Travel CPAP Machine Bundle with AirFit F20 Full Face Mask,AirMini AutoSet Travel CPAP Machine,https://www.cpap.com/products/resmed-airmini-autoset-travel-cpap-machine,resolves-to-product
Machine,5674,AirMini Travel CPAP Machine Bundle with AirTouch F20 Full Face Mask,AirMini AutoSet Travel CPAP Machine,https://www.cpap.com/products/resmed-airmini-autoset-travel-cpap-machine,resolves-to-product
Machine,5675,AirMini Travel CPAP Machine Bundle with AirFit N20 Nasal Mask,AirMini AutoSet Travel CPAP Machine,https://www.cpap.com/products/resmed-airmini-autoset-travel-cpap-machine,resolves-to-product
Machine,5676,AirMini Travel CPAP Machine Bundle with AirFit F30 Full Face Mask,AirMini AutoSet Travel CPAP Machine,https://www.cpap.com/products/resmed-airmini-autoset-travel-cpap-machine,resolves-to-product
Machine,5677,AirMini Travel CPAP Machine Bundle with AirFit P10 Nasal Pillow Mask,AirMini AutoSet Travel CPAP Machine,https://www.cpap.com/products/resmed-airmini-autoset-travel-cpap-machine,resolves-to-product
Machine,5851,DreamStation Auto With Heated Humidifier + Supplies Bundle,DreamStation Auto With Heated Humidifier + Supplies Bundle (Discontinued),https://www.cpap.com/collections/apap-machines,collection
Machine,5853,DreamStation Go Auto Travel CPAP Machine + Six Disposable Filters Bundle,DreamStation Go Auto Travel CPAP Machine + Six Disposable Filters Bundle (Discontinued),https://www.cpap.com/collections/travel-cpap-machines,collection
Machine,5859,DreamStation Auto with Heated Humidifier + DreamWear Mask Bundle,DreamStation Auto with Heated Humidifier + DreamWear Mask Bundle (Discontinued),https://www.cpap.com/collections/apap-machines,collection
Machine,5860,DreamStation Go Auto + DreamWear Mask Bundle,DreamStation Go Auto + DreamWear Mask Bundle (Discontinued),https://www.cpap.com/collections/travel-cpap-machines,collection
Machine,5871,AirMini AutoSet Travel CPAP Machine + Zephair Universal Hose Adapter,AirMini AutoSet Travel CPAP Machine,https://www.cpap.com/products/resmed-airmini-autoset-travel-cpap-machine,resolves-to-product
Machine,5879,AirSense 10 AutoSet with Heated Humidifer + P10 Nasal Pillow Mask Bundle,AirSense 10 AutoSet with HumidAir,https://www.cpap.com/products/resmed-airsense-10-autoset-cpap-machine-with-humidair-heated-humidifier-and-climateline,resolves-to-product
Machine,5880,AirSense 10 AutoSet with Heated Humidifer + Aifit N30i Nasal Mask Bundle,AirSense 10 AutoSet with HumidAir,https://www.cpap.com/products/resmed-airsense-10-autoset-cpap-machine-with-humidair-heated-humidifier-and-climateline,resolves-to-product
Machine,5881,AirSense 10 AutoSet with Heated Humidifer + P30i Nasal Pillow Mask Bundle,AirSense 10 AutoSet with HumidAir,https://www.cpap.com/products/resmed-airsense-10-autoset-cpap-machine-with-humidair-heated-humidifier-and-climateline,resolves-to-product
Machine,5883,DreamStation Go Auto CPAP Machine + Portable Outlet CPAP Battery Bundle,DreamStation Go Auto CPAP Machine + Portable Outlet CPAP Battery Bundle (Discontinued),https://www.cpap.com/collections/travel-cpap-machines,collection
Machine,5923,Luna G3 BPAP 25A Bi-Level CPAP Machine,Luna G3 BPAP 25A Bi-Level CPAP Machine,https://www.cpap.com/products/luna-g3-bpap-25a-bi-level-cpap-machine,resolves-to-product
