# sha256 c3c3c7d9c7c25e7f16fe08ea83dca4ff367510b7b09cc0c647de8670e9df31b6
user_field_name,value,handle,status,url
Machine,AirCurve 10 VAuto BiLevel Machine,aircurve-10-vauto-bilevel-machine,ACTIVE,https://www.cpap.com/products/aircurve-10-vauto-bilevel-machine
Machine,AirCurve 11 VAuto with HumidAir,resmed-aircurve-11-vauto-bilevel-machine-with-humidair,ACTIVE,https://www.cpap.com/products/resmed-aircurve-11-vauto-bilevel-machine-with-humidair
Machine,AirMini AutoSet Travel CPAP Machine,resmed-airmini-autoset-travel-cpap-machine,ACTIVE,https://www.cpap.com/products/resmed-airmini-autoset-travel-cpap-machine
Machine,AirSense 10 AutoSet with HumidAir,resmed-airsense-10-autoset-cpap-machine-with-humidair-heated-humidifier-and-climateline,ACTIVE,https://www.cpap.com/products/resmed-airsense-10-autoset-cpap-machine-with-humidair-heated-humidifier-and-climateline
Machine,AirSense 11 AutoSet,resmed-airsense-11-autoset,ACTIVE,https://www.cpap.com/products/resmed-airsense-11-autoset
Machine,Luna G3 BPAP 25A Bi-Level CPAP Machine,luna-g3-bpap-25a-bi-level-cpap-machine,ACTIVE,https://www.cpap.com/products/luna-g3-bpap-25a-bi-level-cpap-machine
Machine,Luna G3 BPAP 30VT Bi-Level CPAP Machine,luna-g3-bpap-30vt-bi-level-cpap-machine,ACTIVE,https://www.cpap.com/products/luna-g3-bpap-30vt-bi-level-cpap-machine
Machine,Transcend Micro Auto Travel CPAP Machine,transcend-micro-auto-travel-cpap-machine,ACTIVE,https://www.cpap.com/products/transcend-micro-auto-travel-cpap-machine
Mask,AirFit F10 Full Face Mask,resmed-airfit-f10-full-face-cpap-mask,ACTIVE,https://www.cpap.com/products/resmed-airfit-f10-full-face-cpap-mask
Mask,AirFit F20 Full Face CPAP Mask,resmed-airfit-f20-full-face-cpap-mask,ACTIVE,https://www.cpap.com/products/resmed-airfit-f20-full-face-cpap-mask
Mask,AirFit F30 + AirMini Mask Setup Pack Bundle,resmed-airfit-f30-complete-mask-airmini-mask-setup-pack-bundle,ACTIVE,https://www.cpap.com/products/resmed-airfit-f30-complete-mask-airmini-mask-setup-pack-bundle
Mask,AirFit F30 Full Face CPAP Mask,resmed-airfit-f30-full-face-cpap-mask,ACTIVE,https://www.cpap.com/products/resmed-airfit-f30-full-face-cpap-mask
Mask,AirFit F30i Full Face CPAP Mask,resmed-airfit-f30i-full-face-cpap-mask,ACTIVE,https://www.cpap.com/products/resmed-airfit-f30i-full-face-cpap-mask
Mask,AirFit F40 Full Face CPAP Mask,resmed-airfit-f40-full-face-cpap-mask,ACTIVE,https://www.cpap.com/products/resmed-airfit-f40-full-face-cpap-mask
