"Value","Text","URL","Suggested Title","Suggested URL"
"5954","AirMini Mask Setup Pack with AirFit N30 Nasal CPAP Mask","https://cpap.com/products/airmini-mask-setup-pack-n30-nasal-mask","AirMini Mask Setup Pack with N30","https://www.sleeping.com/products/airmini-mask-setup-pack-n30-nasal-mask"
"4499","Amara Full Face CPAP Mask with Gel & Silicone Cushions","","Amara Full Face CPAP Mask","https://www.sleeping.com/products/amara-full-face-cpap-mask-with-headgear"
"4483","Amara Full Face CPAP Mask with Headgear","","Amara Full Face CPAP Mask","https://www.sleeping.com/products/amara-full-face-cpap-mask-with-headgear"
"4950","Amara View Full Face CPAP Mask with Headgear","","Amara View Full Face CPAP Mask","https://www.sleeping.com/products/amara-view-full-face-cpap-mask-with-headgear"
"5113","Amara View Full Face CPAP Mask with Headgear - Fit Pack","https://cpap.com/products/amara-view-full-face-cpap-mask-with-headgear","Amara View Full Face CPAP Mask","https://www.sleeping.com/products/amara-view-full-face-cpap-mask-with-headgear"
"5564","Bleep DreamPort CPAP Mask Solution","https://cpap.com/products/bleep-dreamport-cpap-mask","Bleep DreamPort CPAP Mask","https://www.sleeping.com/products/bleep-dreamport-cpap-mask"
"6070","Eclipse Starter Kit","https://cpap.com/products/bleep-eclipse-starter-kit-cpap-mask","Bleep Eclipse Starter Kit","https://www.sleeping.com/products/bleep-eclipse-starter-kit-cpap-mask"
"5306","Brevida Nasal Pillow CPAP Mask with Headgear","https://cpap.com/products/brevida-nasal-pillow-cpap-mask","Brevida Nasal Pillow CPAP Mask","https://www.sleeping.com/products/brevida-nasal-pillow-cpap-mask"
"5307","Brevida Nasal Pillow CPAP Mask with Headgear - Fit Pack","","Brevida Nasal Pillow CPAP Mask","https://www.sleeping.com/products/brevida-nasal-pillow-cpap-mask"
"4471","Single Size SleepWeaver Elan Soft Cloth Nasal CPAP Mask","","SleepWeaver Elan Nasal CPAP Mask","https://www.sleeping.com/products/circadiance-sleepweaver-elan-soft-cloth-nasal-cpap-mask"
"4049","SleepWeaver Elan Soft Cloth Nasal CPAP Mask - Starter Kit","","SleepWeaver Elan Nasal CPAP Mask","https://www.sleeping.com/products/circadiance-sleepweaver-elan-soft-cloth-nasal-cpap-mask"
"3219","ComfortGel Blue Nasal CPAP Mask with Headgear","","ComfortGel Blue Nasal CPAP Mask","https://www.sleeping.com/products/comfortgel-blue-nasal-cpap-mask"
"3644","ComfortGel Blue Nasal CPAP Mask WITHOUT Headgear","","ComfortGel Blue Nasal CPAP Mask","https://www.sleeping.com/products/comfortgel-blue-nasal-cpap-mask"
"5406","DreamWear Full Face CPAP Mask with Headgear (Small and Medium Frame Included)","","DreamWear Full Face CPAP Mask","https://www.sleeping.com/products/dreamwear-full-face-cpap-mask-with-headgear"
"5479","DreamWear Full Face CPAP Mask with Headgear - Fit Pack (S, M, MW, L Cushions with Medium Frame)","https://cpap.com/products/dreamwear-full-face-cpap-mask-with-headgear","DreamWear Full Face CPAP Mask","https://www.sleeping.com/products/dreamwear-full-face-cpap-mask-with-headgear"
"4987","DreamWear Nasal CPAP Mask with Headgear","","DreamWear Nasal CPAP Mask","https://www.sleeping.com/products/dreamwear-nasal-cpap-mask"
"5006","DreamWear Nasal CPAP Mask with Headgear - Fit Pack (All Cushions Included with Medium Frame)","https://cpap.com/products/dreamwear-nasal-cpap-mask","DreamWear Nasal CPAP Mask","https://www.sleeping.com/products/dreamwear-nasal-cpap-mask"
"5873","DreamWear Silicone Nasal Pillow CPAP Mask with Headgear - Fit Pack (All Nasal Pillows with Medium Frame)","https://cpap.com/products/dreamwear-silicone-nasal-pillow-cpap-mask","DreamWear Silicone Nasal Pillow Mask","https://www.sleeping.com/products/dreamwear-silicone-nasal-pillow-cpap-mask"
"5573","DreamWisp Nasal CPAP Mask With Headgear","","DreamWisp Nasal CPAP Mask","https://www.sleeping.com/products/dreamwisp-nasal-cpap-mask"
"5579","DreamWisp Nasal CPAP Mask with Headgear - Fit Pack (S, M, L Cushions Included)","","DreamWisp Nasal CPAP Mask","https://www.sleeping.com/products/dreamwisp-nasal-cpap-mask"
"5576","DreamWisp Nasal CPAP Mask WITHOUT Headgear","","DreamWisp Nasal CPAP Mask","https://www.sleeping.com/products/dreamwisp-nasal-cpap-mask"
"5580","DreamWisp Nasal CPAP Mask WITHOUT Headgear - Fit Pack (S, M, L Cushions Included)","","DreamWisp Nasal CPAP Mask","https://www.sleeping.com/products/dreamwisp-nasal-cpap-mask"
"5485","Eson 2 Nasal CPAP Mask with Headgear - Fit Pack","https://cpap.com/products/eson-2-nasal-cpap-mask","Eson 2 Nasal CPAP Mask","https://www.sleeping.com/products/eson-2-nasal-cpap-mask"
"5234","Eson 2 Nasal CPAP Mask with Headgear","","Eson 2 Nasal CPAP Mask","https://www.sleeping.com/products/eson-2-nasal-cpap-mask"
"4230","Eson™ Nasal CPAP Mask with Headgear","","Eson Nasal CPAP Mask","https://www.sleeping.com/products/eson-nasal-cpap-mask"
"6072","Evora Full Face Mask","https://cpap.com/products/evora-full-face-mask-with-headgear","Evora Full Face Mask","https://www.sleeping.com/products/evora-full-face-mask-with-headgear"
"6073","Evora Full Face Mask - Fitpack","","Evora Full Face Mask","https://www.sleeping.com/products/evora-full-face-mask-with-headgear"
"5826","Fisher & Paykel Evora Nasal CPAP Mask - Fit Pack","https://cpap.com/products/fisher-paykel-evora-nasal-cpap-mask-with-headgear","Fisher & Paykel Evora Nasal CPAP Mask","https://www.sleeping.com/products/fisher-paykel-evora-nasal-cpap-mask-with-headgear"
"5821","Fisher & Paykel Evora Nasal CPAP Mask with Headgear","","Fisher & Paykel Evora Nasal CPAP Mask","https://www.sleeping.com/products/fisher-paykel-evora-nasal-cpap-mask-with-headgear"
"2876","Forma Full Face CPAP Mask with Headgear","https://cpap.com/products/fisher-paykel-forma-full-face-cpap-mask","Fisher & Paykel Forma Full Face CPAP Mask","https://www.sleeping.com/products/fisher-paykel-forma-full-face-cpap-mask"
